,price_date,TSLA_5_day_alpha_shifted,TSLA_rdate,TSLA_fdate,TSLA_surprisepct
88,2012-05-09,0.01370297420305646,2012-05-09,2012-03-31,-10.1449
141,2012-07-25,-0.13753992412365065,2012-07-25,2012-06-30,3.2609
211,2012-11-05,0.017248719982597506,2012-11-05,2012-09-30,-2.2222
283,2013-02-20,-0.09610908673581468,2013-02-20,2012-12-31,-22.6415
337,2013-05-08,0.5008592300193244,2013-05-08,2013-03-31,200
400,2013-08-07,0.043633789472342054,2013-08-07,2013-06-30,217.6471
463,2013-11-05,-0.22427744903556618,2013-11-05,2013-09-30,9.0909
534,2014-02-19,0.289204223502874,2014-02-19,2013-12-31,57.1429
588,2014-05-07,-0.06986888867930752,2014-05-07,2014-03-31,20
647,2014-07-31,0.14456841138719817,2014-07-31,2014-06-30,175
715,2014-11-05,0.06619779056626907,2014-11-05,2014-09-30,300
781,2015-02-11,-0.027456926881603547,2015-02-11,2014-12-31,-141.9355
839,2015-05-06,0.0456351668508034,2015-05-06,2015-03-31,28
902,2015-08-05,-0.11190016298442619,2015-08-05,2015-06-30,20
965,2015-11-03,0.0518701840968271,2015-11-03,2015-09-30,-18.3673
1032,2016-02-10,0.10874054445371267,2016-02-10,2015-12-31,-970
1090,2016-05-04,-0.07148933967504466,2016-05-04,2016-03-31,-150
1153,2016-08-03,-0.006266882090486412,2016-08-03,2016-06-30,-215.6863
1212,2016-10-26,-0.05280015835980954,2016-10-26,2016-09-30,231.4815
1292,2017-02-22,-0.10535156482640108,2017-02-22,2016-12-31,-60.4651
1341,2017-05-03,0.04281596154838657,2017-05-03,2017-03-31,-64.1975
1404,2017-08-02,0.11673047445747708,2017-08-02,2017-06-30,26.9231
1468,2017-11-01,-0.06445495493541337,2017-11-01,2017-09-30,-32.7273
1534,2018-02-07,-0.07347934004278811,2018-02-07,2017-12-31,1.6181
1592,2018-05-02,-0.017437788212192336,2018-05-02,2018-03-31,6.4246
1655,2018-08-01,0.18359235826165793,2018-08-01,2018-06-30,-4.7945
1714,2018-10-24,0.14991765135334653,2018-10-24,2018-09-30,1550
1779,2019-01-30,0.001997527586439219,2019-01-30,2018-12-31,-11.3636
1837,2019-04-24,-0.09388086350126246,2019-04-24,2019-03-31,-314.2857
1900,2019-07-24,-0.062249994483801835,2019-07-24,2019-06-30,-214.2857
1964,2019-10-23,0.2185174755295426,2019-10-23,2019-09-30,562.5
2030,2020-01-29,0.24318481890983631,2020-01-29,2019-12-31,17.1429
2093,2020-04-29,0.013101378900249094,2020-04-29,2020-03-31,483.3333
2151,2020-07-22,-0.05131143670969226,2020-07-22,2020-06-30,1200
2215,2020-10-21,0.07565797393553175,2020-10-21,2020-09-30,31.5789
2281,2021-01-27,-0.035965715734236764,2021-01-27,2020-12-31,-20.5882
2342,2021-04-26,-0.07644292012017687,2021-04-26,2021-03-31,19.2308
2405,2021-07-26,0.08970223105544903,2021-07-26,2021-06-30,45.4545
2466,2021-10-20,0.19566759989301374,2021-10-20,2021-09-30,16.9811
2533,2022-01-26,-0.15478331006384544,2022-01-26,2021-12-31,7.5949
2591,2022-04-20,0.021457624771159853,2022-04-20,2022-03-31,42.6667
2653,2022-07-20,0.0755860338219892,2022-07-20,2022-06-30,24.5902
2717,2022-10-19,-0.0352619412528042,2022-10-19,2022-09-30,6.0606
2783,2023-01-25,0.20763876076280557,2023-01-25,2022-12-31,5.3097
