,price_date,WMT_5_day_alpha_shifted,WMT_rdate,WMT_fdate,WMT_surprisepct
94,2012-05-17,0.0508387924718911,2012-05-17,2012-04-30,4.8077
157,2012-08-16,-0.005109342493929095,2012-08-16,2012-07-31,0.8547
219,2012-11-15,-0.0030387187214988183,2012-11-15,2012-10-31,0.9346
284,2013-02-21,0.004087648137033179,2013-02-21,2013-01-31,6.3694
343,2013-05-16,-0.02786430033221625,2013-05-16,2013-04-30,-0.8696
406,2013-08-15,-0.011544442148270346,2013-08-15,2013-07-31,0.0
470,2013-11-14,-0.005050688250416439,2013-11-14,2013-10-31,0.885
535,2014-02-20,0.008574403020442163,2014-02-20,2014-01-31,0.6289
594,2014-05-15,-0.024979481015320014,2014-05-15,2014-04-30,-4.3478
657,2014-08-14,0.005680200468548301,2014-08-14,2014-07-31,0.0
721,2014-11-13,0.01628800879833004,2014-11-13,2014-10-31,2.6786
786,2015-02-19,-0.0014629885638816923,2015-02-19,2015-01-31,4.5455
848,2015-05-19,-0.01483254897969827,2015-05-19,2015-04-30,-0.9615
911,2015-08-18,-0.010839522518649683,2015-08-18,2015-07-31,-3.5714
975,2015-11-17,-0.013704961402809848,2015-11-17,2015-10-31,1.0204
1037,2016-02-18,0.05253039011710385,2016-02-18,2016-01-31,2.0548
1101,2016-05-19,0.0065124195659250345,2016-05-19,2016-04-30,11.3636
1164,2016-08-18,-0.040159564445099945,2016-08-18,2016-07-31,4.902
1228,2016-11-17,0.020728702955975176,2016-11-17,2016-10-31,2.0833
1291,2017-02-21,-0.007251040563717266,2017-02-21,2017-01-31,0.7752
1352,2017-05-18,0.0025956103398023962,2017-05-18,2017-04-30,4.1667
1415,2017-08-17,-0.01946707866553427,2017-08-17,2017-07-31,0.9346
1479,2017-11-16,-0.039429364716256105,2017-11-16,2017-10-31,3.0928
1542,2018-02-20,-0.03639196737260251,2018-02-20,2018-01-31,-2.9197
1603,2018-05-17,-0.02144593175398173,2018-05-17,2018-04-30,1.7857
1666,2018-08-16,-0.03816087111324239,2018-08-16,2018-07-31,5.7377
1730,2018-11-15,-0.027780754725249057,2018-11-15,2018-10-31,6.9307
1792,2019-02-19,-0.037915607720597835,2019-02-19,2019-01-31,6.015
1853,2019-05-16,0.01656499148211403,2019-05-16,2019-04-30,10.7843
1916,2019-08-15,-0.02603678935408778,2019-08-15,2019-07-31,4.0984
1980,2019-11-14,-0.007606177312364551,2019-11-14,2019-10-31,6.422
2043,2020-02-18,-0.015585324943939938,2020-02-18,2020-01-31,-4.1667
2107,2020-05-19,-0.04067477537980534,2020-05-19,2020-04-30,5.3571
2170,2020-08-18,-0.031410845507237904,2020-08-18,2020-07-31,24.8
2234,2020-11-17,0.00880597030978867,2020-11-17,2020-10-31,13.5593
2296,2021-02-18,-0.03183361853701403,2021-02-18,2021-01-31,-7.947
2358,2021-05-18,-0.006252478815884607,2021-05-18,2021-04-30,39.6694
2421,2021-08-17,-0.01717806158313238,2021-08-17,2021-07-31,13.3758
2485,2021-11-16,0.019616434294585615,2021-11-16,2021-10-31,3.5714
2549,2022-02-17,-0.01827532010364484,2022-02-17,2022-01-31,2.0
2610,2022-05-17,-0.044630975028768685,2022-05-17,2022-04-30,-12.1622
2672,2022-08-16,-0.016820110013256305,2022-08-16,2022-07-31,9.2593
2736,2022-11-15,0.026819530668326617,2022-11-15,2022-10-31,13.6364
2801,2023-02-21,-0.031061470143546523,2023-02-21,2023-01-31,13.245
